CD_ESTACAO;DT_MEDICAO;HR_MEDICAO;CHUVA
A803;2020-11-30;0;
A803;2020-11-30;100;
A803;2020-11-30;400;
A803;2020-11-30;500;
A803;2020-11-30;700;
A803;2020-11-30;900;
A803;2020-11-30;1000;
A803;2020-11-30;1100;
A803;2020-11-30;1200;
A803;2020-11-30;1300;
A803;2020-11-30;1400;
A803;2020-11-30;1600;
A803;2020-11-30;1700;
A803;2020-11-30;1900;
A803;2020-11-30;2000;
A803;2020-11-30;2200;
A803;2020-11-29;100;
A803;2020-11-29;500;
A803;2020-11-29;700;
A803;2020-11-29;900;
A803;2020-11-29;1100;
A803;2020-11-29;1200;
A803;2020-11-29;1500;
A803;2020-11-29;1700;
A803;2020-11-29;1800;
A803;2020-11-29;1900;
A803;2020-11-29;2100;
A803;2020-11-28;0;
A803;2020-11-28;200;
A803;2020-11-28;400;
A803;2020-11-28;600;
A803;2020-11-28;700;
A803;2020-11-28;1000;
A803;2020-11-28;1200;
A803;2020-11-28;1300;
A803;2020-11-28;1400;
A803;2020-11-28;1500;
A803;2020-11-28;2000;
A803;2020-11-28;2200;
A803;2020-11-28;2300;
A803;2020-11-27;100;
A803;2020-11-27;200;
A803;2020-11-27;300;
A803;2020-11-27;400;
A803;2020-11-27;600;
A803;2020-11-27;700;
A803;2020-11-27;800;
A803;2020-11-27;1000;
A803;2020-11-27;1400;
A803;2020-11-27;1500;
A803;2020-11-27;1600;
A803;2020-11-27;1800;
A803;2020-11-27;1900;
A803;2020-11-27;2000;
A803;2020-11-27;2100;
A803;2020-11-27;2200;
A803;2020-11-26;0;
A803;2020-11-26;200;
A803;2020-11-26;300;
A803;2020-11-26;400;
A803;2020-11-26;500;
A803;2020-11-26;600;
A803;2020-11-26;700;
A803;2020-11-26;800;
A803;2020-11-26;900;
A803;2020-11-26;1000;
A803;2020-11-26;1100;
A803;2020-11-26;1300;
A803;2020-11-26;1400;
A803;2020-11-26;1500;
A803;2020-11-26;1600;
A803;2020-11-26;1800;
A803;2020-11-26;1900;
A803;2020-11-26;2100;
A803;2020-11-26;2200;
A803;2020-11-26;2300;
A803;2020-11-25;0;
A803;2020-11-25;400;
A803;2020-11-25;500;
A803;2020-11-25;600;
A803;2020-11-25;800;
A803;2020-11-25;900;
A803;2020-11-25;1100;
A803;2020-11-25;1200;
A803;2020-11-25;1300;
A803;2020-11-25;1400;
A803;2020-11-25;1500;
A803;2020-11-25;1600;
A803;2020-11-25;1700;
A803;2020-11-25;1900;
A803;2020-11-25;2000;
A803;2020-11-25;2100;
A803;2020-11-25;2300;
A803;2020-11-24;0;
A803;2020-11-24;100;
A803;2020-11-24;200;
A803;2020-11-24;400;
A803;2020-11-24;900;
A803;2020-11-24;1000;
A803;2020-11-24;1100;
A803;2020-11-24;1200;
A803;2020-11-24;1400;
A803;2020-11-24;1500;
A803;2020-11-24;1600;
A803;2020-11-24;1900;
A803;2020-11-24;2100;
A803;2020-11-24;2300;
A803;2020-11-23;0;
A803;2020-11-23;200;
A803;2020-11-23;500;
A803;2020-11-23;700;
A803;2020-11-23;1000;
A803;2020-11-23;1100;
